PassengerId,Survived,Pclass,Nametitle_0,Nametitle_1,Nametitle_2,Nametitle_3,Nametitle_4,Lastname_0,Lastname_1,Lastname_2,Lastname_3,Lastname_4,Lastname_5,Lastname_6,Lastname_7,Lastname_8,Lastname_9,Sex_0,Age,SibSp,Parch,Ticketcode_0,Ticketcode_1,Ticketcode_2,Ticketcode_3,Ticketcode_4,Ticketcode_5,Fare,Cabin_0,Cabin_1,Cabin_2,Cabin_3,Cabin_4,Cabin_5,Cabin_6,Cabin_7,Embarked_0,Embarked_1
1,0,0.841594769186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.611737906761,0.481103898778,-0.444829492449,0,0,0,0,0,0,-0.503402465774,0,0,0,0,0,0,0,0,0,0
2,1,-1.54550718718,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.630190215975,0.481103898778,-0.444829492449,0,0,0,0,0,1,0.734221951249,0,0,0,0,0,0,0,1,0,1
3,1,0.841594769186,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.301255876077,-0.478903728509,-0.444829492449,0,0,0,0,1,0,-0.490356183895,0,0,0,0,0,0,0,0,0,0
4,1,-1.54550718718,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.397328692962,0.481103898778,-0.444829492449,0,0,0,0,1,1,0.382778310798,0,0,0,0,0,0,1,0,0,0
5,0,0.841594769186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.397328692962,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.487940205769,0,0,0,0,0,0,0,0,0,0
6,0,0.841594769186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.20610751487e-15,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.480048654818,0,0,0,0,0,0,0,0,1,0
7,0,-1.54550718718,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.87211833871,-0.478903728509,-0.444829492449,0,0,0,0,1,1,0.358860127352,0,0,0,0,0,0,1,1,0,0
8,0,0.841594769186,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,-2.16414806018,2.40111915335,0.71049155044,0,0,0,0,1,1,-0.236195285052,0,0,0,0,0,0,0,0,0,0
9,1,0.841594769186,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.223635368406,-0.478903728509,1.86581259333,0,0,0,0,1,1,-0.428346722924,0,0,0,0,0,0,0,0,0,0
10,1,-0.351956208999,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,-1.23270196813,0.481103898778,-0.444829492449,0,0,0,0,1,1,-0.0623260368537,0,0,0,0,0,0,0,0,0,1
11,1,0.841594769186,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,-2.00890704484,0.481103898778,0.71049155044,0,0,0,1,0,0,-0.320754519458,0,0,0,0,0,1,0,0,0,0
12,1,-1.54550718718,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2.1826003694,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.130375443138,0,0,0,0,0,1,0,1,0,0
13,0,0.841594769186,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-0.766978922103,-0.478903728509,-0.444829492449,0,0,0,1,0,1,-0.487940205769,0,0,0,0,0,0,0,0,0,0
14,0,0.841594769186,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.707810723646,0.481103898778,5.331775722,0,0,0,0,1,1,-0.0390514699802,0,0,0,0,0,0,0,0,0,0
15,0,0.841594769186,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,-1.23270196813,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.491724593905,0,0,0,0,0,0,0,0,0,0
16,1,-0.351956208999,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1.94973884638,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.334283996963,0,0,0,0,0,0,0,0,0,0
17,0,0.841594769186,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-2.16414806018,3.36112678064,0.71049155044,0,0,0,0,1,1,-0.0806062937453,0,0,0,0,0,0,0,0,1,0
18,1,-0.351956208999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.20610751487e-15,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.392267471984,0,0,0,0,0,0,0,0,0,0
19,0,0.841594769186,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.0868466622778,0.481103898778,-0.444829492449,0,0,0,0,1,1,-0.295628346949,0,0,0,0,0,0,0,0,0,0
20,1,0.841594769186,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,2.20610751487e-15,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.5038856614,0,0,0,0,0,0,0,0,0,1
21,0,-0.351956208999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.397328692962,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.141005746892,0,0,0,0,0,0,0,0,0,0
22,1,-0.351956208999,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.319708185291,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.392267471984,0,0,0,0,0,1,1,0,0,0
23,1,0.841594769186,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,-1.15508146046,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.488342224529,0,0,0,0,0,0,0,0,1,0
24,1,-1.54550718718,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-0.146014860735,-0.478903728509,-0.444829492449,0,0,0,0,1,1,0.0426085906745,0,0,0,0,0,1,1,1,0,0
25,0,0.841594769186,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,-1.69842501416,2.40111915335,0.71049155044,0,0,0,0,1,1,-0.236195285052,0,0,0,0,0,0,0,0,0,0
26,1,0.841594769186,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0.630190215975,0.481103898778,5.331775722,0,0,0,0,1,1,-0.0368770896669,0,0,0,0,0,0,0,0,0,0
27,0,0.841594769186,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2.20610751487e-15,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.5038856614,0,0,0,0,0,0,0,0,0,1
28,0,-1.54550718718,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.844599429774,2.40111915335,1.86581259333,0,0,0,0,1,1,4.43968877978,0,0,0,0,1,0,0,0,0,0
29,1,0.841594769186,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,2.20610751487e-15,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.49124139828,0,0,0,0,0,0,0,0,1,0
30,0,0.841594769186,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2.20610751487e-15,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.490920556385,0,0,0,0,0,0,0,0,0,0
31,0,-1.54550718718,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0.785431231317,-0.478903728509,-0.444829492449,0,0,0,0,0,1,-0.10774642562,0,0,0,0,0,0,0,0,0,1
32,1,-1.54550718718,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,2.20610751487e-15,0.481103898778,-0.444829492449,0,0,0,0,0,1,2.18839918522,0,0,0,0,1,0,0,1,0,1
33,1,0.841594769186,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,2.20610751487e-15,-0.478903728509,-0.444829492449,0,0,0,0,1,1,-0.493738553271,0,0,0,0,0,0,0,0,1,0
